F3 04 00 34 00 2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3F 04 01 34 00 78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F3 04 00 35 00 2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3F 04 01 35 00 79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4E 0C 00 01 37 C7 69 1D 0C E1 1D 04 02 EF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F3 04 00 36 00 2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3F 04 01 36 00 7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E4 04 01 01 00 EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5F 64 61 3B 60 FF,60,3F,4,1,5B,0,9F,,,,,,,,,,,,,,,,,,,,,,2A,EA,,,,,,,,
79 8E 8A D6 8A D9,8A,F3,4,0,5C,0,53,,,,,,,,,,,,,,,,,,,,,,2A,EA,,,,,,,,
5F 64 61 3C 60 C0,60,3F,4,1,5C,0,A0,,,,,,,,,,,,,,,,,,,,,,2A,EA,,,,,,,,
79 8E 8A D7 8A DE,8A,F3,4,0,5D,0,54,,,,,,,,,,,,,,,,,,,,,,2A,EA,,,,,,,,
5F 64 61 3D 60 C1,60,3F,4,1,5D,0,A1,,,,,,,,,,,,,,,,,,,,,,2A,EA,,,,,,,,
79 8E 8A D4 8A DF,8A,F3,4,0,5E,0,55,,,,,,,,,,,,,,,,,,,,,,2A,EA,,,,,,,,
5F 64 61 3E 60 C2,60,3F,4,1,5E,0,A2,,,,,,,,,,,,,,,,,,,,,,2A,EA,,,,,,,,
0F 67 60 62 62 60 60 60 1A,60,6F,7,0,2,2,0,0,0,7A,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
79 8E 8A D5 8A DC,8A,F3,4,0,5F,0,56,,,,,,,,,,,,,,,,,,,,,,2A,EA,,,,,,,,
FA C1 C4 9A C5 66,C5,3F,4,1,5F,0,A3,,,,,,,,,,,,,,,,,,,,,,3B,4F,,,,,,,,
79 8E 8A EA 8A DD,8A,F3,4,0,60,0,57,,,,,,,,,,,,,,,,,,,,,,3B,4F,,,,,,,,
FA C1 C4 A5 C5 61,C5,3F,4,1,60,0,A4,,,,,,,,,,,,,,,,,,,,,,3B,4F,,,,,,,,
79 8E 8A EB 8A D2,8A,F3,4,0,61,0,58,,,,,,,,,,,,,,,,,,,,,,3B,4F,,,,,,,,
FA C1 C4 A4 C5 60,C5,3F,4,1,61,0,A5,,,,,,,,,,,,,,,,,,,,,,3B,4F,,,,,,,,
79 8E 8A E8 8A D3,8A,F3,4,0,62,0,59,,,,,,,,,,,,,,,,,,,,,,3B,4F,,,,,,,,
FA C1 C4 A7 C5 63,C5,3F,4,1,62,0,A6,,,,,,,,,,,,,,,,,,,,,,3B,4F,,,,,,,,
79 8E 8A E9 8A D0,8A,F3,4,0,63,0,5A,,,,,,,,,,,,,,,,,,,,,,3B,4F,,,,,,,,
FA C1 C4 A6 C5 62,C5,3F,4,1,63,0,A7,,,,,,,,,,,,,,,,,,,,,,3B,4F,,,,,,,,
AA C3 C5 C6 C4 D4 A6 28,C5,6F,6,0,3,1,11,63,ED,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
7C 8E 8A 8C 89 89,8A,F6,4,0,6,3,3,,,,,,,,,,,,,,,,,,,,,,3B,4F,,,,,,,,
93 64 60 60 60 97,60,F3,4,0,0,0,F7,,,,,,,,,,,,,,,,,,,,,,2A,EA,,,,,,,,
14 2F 2A 2B 2B 6F,2B,3F,4,1,0,0,44,,,,,,,,,,,,,,,,,,,,,,35,4B,,,,,,,,
44 2F 2A 2D 2B 51,2B,6F,4,1,6,0,7A,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
93 64 60 61 60 98,60,F3,4,0,1,0,F8,,,,,,,,,,,,,,,,,,,,,,35,4B,,,,,,,,
AD 96 93 93 92 D7,92,3F,4,1,1,0,45,,,,,,,,,,,,,,,,,,,,,,32,F2,,,,,,,,
93 64 60 62 60 99,60,F3,4,0,2,0,F9,,,,,,,,,,,,,,,,,,,,,,32,F2,,,,,,,,
93 64 60 63 60 9A,60,F3,4,0,3,0,FA,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
AD 96 93 91 92 D5,92,3F,4,1,3,0,47,,,,,,,,,,,,,,,,,,,,,,32,F2,,,,,,,,
93 64 60 64 60 9B,60,F3,4,0,4,0,FB,,,,,,,,,,,,,,,,,,,,,,32,F2,,,,,,,,
AD 96 93 96 92 DA,92,3F,4,1,4,0,48,,,,,,,,,,,,,,,,,,,,,,32,F2,,,,,,,,
FD 96 92 95 92 E8,92,6F,4,0,7,0,7A,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
93 64 60 65 60 9C,60,F3,4,0,5,0,FC,,,,,,,,,,,,,,,,,,,,,,32,F2,,,,,,,,
17 2C 29 2D 28 61,28,3F,4,1,5,0,49,,,,,,,,,,,,,,,,,,,,,,38,48,,,,,,,,
93 64 60 66 60 9D,60,F3,4,0,6,0,FD,,,,,,,,,,,,,,,,,,,,,,38,48,,,,,,,,
17 2C 29 2E 28 62,28,3F,4,1,6,0,4A,,,,,,,,,,,,,,,,,,,,,,38,48,,,,,,,,
96 6B 60 65 74 62 6B 6B 68 58 62 61 15,60,F6,0B,0,5,14,2,0B,0B,8,38,2,1,75,,,,,,,,,,,,,,,38,48,,,,,,,,
47 2C 29 2D 28 51,28,6F,4,1,5,0,79,,,,,,,,,,,,,,,,,,,,,,38,48,,,,,,,,
36 C1 C5 C2 C5 3B,C5,F3,4,0,7,0,FE,,,,,,,,,,,,,,,,,,,,,,9D,ED,,,,,,,,
5C 67 62 64 63 28,63,3F,4,1,7,0,4B,,,,,,,,,,,,,,,,,,,,,,62,A6,,,,,,,,
36 C1 C5 CD C5 3A,C5,F3,4,0,8,0,FF,,,,,,,,,,,,,,,,,,,,,,62,A6,,,,,,,,
5C 67 62 6B 63 2F,63,3F,4,1,8,0,4C,,,,,,,,,,,,,,,,,,,,,,62,A6,,,,,,,,
0C 67 63 6F 62 E3,63,6F,4,0,0C,1,80,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
36 C1 C5 CC C5 C5,C5,F3,4,0,9,0,0,,,,,,,,,,,,,,,,,,,,,,62,A6,,,,,,,,
36 C1 C5 CF C5 C4,C5,F3,4,0,0A,0,1,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
92 A9 AC A7 AD E3,AD,3F,4,1,0A,0,4E,,,,,,,,,,,,,,,,,,,,,,18,68,,,,,,,,
36 C1 C5 CE C5 C7,C5,F3,4,0,0B,0,2,,,,,,,,,,,,,,,,,,,,,,18,68,,,,,,,,
92 A9 AC A6 AD E2,AD,3F,4,1,0B,0,4F,,,,,,,,,,,,,,,,,,,,,,18,68,,,,,,,,
C2 A9 AD A0 AC 2C,AD,6F,4,0,0D,1,81,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
36 C1 C5 C9 C5 C6,C5,F3,4,0,0C,0,3,,,,,,,,,,,,,,,,,,,,,,18,68,,,,,,,,
07 3C 39 34 38 68,38,3F,4,1,0C,0,50,,,,,,,,,,,,,,,,,,,,,,8D,FD,,,,,,,,
36 C1 C5 C8 C5 C1,C5,F3,4,0,0D,0,4,,,,,,,,,,,,,,,,,,,,,,8D,FD,,,,,,,,
07 3C 39 34 38 68,38,3F,4,1,0C,0,50,,,,,,,,,,,,,,,,,,,,,,8D,FD,,,,,,,,
36 C1 C5 D5 C5 C2,C5,F3,4,0,10,0,7,,,,,,,,,,,,,,,,,,,,,,8D,FD,,,,,,,,
07 3C 39 35 38 69,38,3F,4,1,0D,0,51,,,,,,,,,,,,,,,,,,,,,,8D,FD,,,,,,,,
07 3C 39 28 38 6C,38,3F,4,1,10,0,54,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
36 C1 C5 D4 C5 CD,C5,F3,4,0,11,0,8,,,,,,,,,,,,,,,,,,,,,,8D,FD,,,,,,,,
07 3C 39 29 38 6D,38,3F,4,1,11,0,55,,,,,,,,,,,,,,,,,,,,,,8D,FD,,,,,,,,
36 C1 C5 D7 C5 CC,C5,F3,4,0,12,0,9,,,,,,,,,,,,,,,,,,,,,,8D,FD,,,,,,,,
07 3C 39 2A 38 6E,38,3F,4,1,12,0,56,,,,,,,,,,,,,,,,,,,,,,8D,FD,,,,,,,,
36 C1 C5 D6 C5 CF,C5,F3,4,0,13,0,0A,,,,,,,,,,,,,,,,,,,,,,8D,FD,,,,,,,,
57 3C 38 36 38 B9,38,6F,4,0,0E,0,81,,,,,,,,,,,,,,,,,,,,,,8D,FD,,,,,,,,
9B A0 A5 B7 A4 F3,A4,3F,4,1,13,0,57,,,,,,,,,,,,,,,,,,,,,,6C,9C,,,,,,,,
36 C1 C5 D1 C5 CE,C5,F3,4,0,14,0,0B,,,,,,,,,,,,,,,,,,,,,,21,61,,,,,,,,
9B A0 A5 B0 A4 FC,A4,3F,4,1,14,0,58,,,,,,,,,,,,,,,,,,,,,,21,61,,,,,,,,
CB A0 A4 AB A4 26,A4,6F,4,0,0F,0,82,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
7E 15 11 01 11 92,11,6F,4,0,10,0,83,,,,,,,,,,,,,,,,,,,,,,93,B5,,,,,,,,
22 49 4D 5C 4D C9,4D,6F,4,0,11,0,84,,,,,,,,,,,,,,,,,,,,,,3C,5C,,,,,,,,
6D 08 02 10 16 00 09 09 0A 3A 00 FB,2,6F,0A,0,12,14,2,0B,0B,8,38,2,F9,,,,,,,,,,,,,,,,4B,4F,,,,,,,,
31 5A 5E 4D 5E D8,5E,6F,4,0,13,0,86,,,,,,,,,,,,,,,,,,,,,,5C,5C,,,,,,,,
36 C1 C5 D0 C5 C9,C5,F3,4,0,15,0,0C,,,,,,,,,,,,,,,,,,,,,,67,9B,,,,,,,,
